,Frame,Mean,Game,Alg,Model
311,12800000,816.3900414937759,Asterix,Amp Single,2
312,14400000,994.0265486725664,Asterix,Amp Single,2
313,16000000,607.395498392283,Asterix,Amp Single,2
314,17600000,1473.2558139534883,Asterix,Amp Single,2
315,19200000,1358.4183673469388,Asterix,Amp Single,2
316,20800000,1866.6666666666667,Asterix,Amp Single,2
317,22400000,2307.03125,Asterix,Amp Single,2
318,24000000,2397.1774193548385,Asterix,Amp Single,2
319,25600000,2660.344827586207,Asterix,Amp Single,2
320,27200000,2309.230769230769,Asterix,Amp Single,2
321,28800000,2497.5806451612902,Asterix,Amp Single,2
322,30400000,2533.703703703704,Asterix,Amp Single,2
323,32000000,2311.9402985074626,Asterix,Amp Single,2
324,33600000,2657.751937984496,Asterix,Amp Single,2
325,35200000,3375.3246753246754,Asterix,Amp Single,2
326,36800000,2838.3333333333335,Asterix,Amp Single,2
327,38400000,3068.5185185185187,Asterix,Amp Single,2
328,40000000,3299.5575221238937,Asterix,Amp Single,2
329,41600000,3573.6363636363635,Asterix,Amp Single,2
330,43200000,3739.1509433962265,Asterix,Amp Single,2
331,44800000,3451.2605042016808,Asterix,Amp Single,2
332,46400000,3684.0425531914893,Asterix,Amp Single,2
333,48000000,2984.126984126984,Asterix,Amp Single,2
334,49600000,3752.777777777778,Asterix,Amp Single,2
335,51200000,3940.1785714285716,Asterix,Amp Single,2
336,52800000,5067.01030927835,Asterix,Amp Single,2
337,54400000,3885.9223300970875,Asterix,Amp Single,2
338,56000000,3830.2752293577983,Asterix,Amp Single,2
339,57600000,4622.115384615385,Asterix,Amp Single,2
340,59200000,4259.401709401709,Asterix,Amp Single,2
341,60800000,5602.197802197802,Asterix,Amp Single,2
342,62400000,5605.376344086021,Asterix,Amp Single,2
343,64000000,4648.0392156862745,Asterix,Amp Single,2
344,65600000,4902.040816326531,Asterix,Amp Single,2
345,67200000,5270.297029702971,Asterix,Amp Single,2
346,68800000,5434.782608695652,Asterix,Amp Single,2
347,70400000,3603.968253968254,Asterix,Amp Single,2
348,72000000,4624.545454545455,Asterix,Amp Single,2
349,73600000,6310.795454545455,Asterix,Amp Single,2
350,75200000,5522.105263157895,Asterix,Amp Single,2
351,76800000,6441.758241758242,Asterix,Amp Single,2
352,78400000,4811.682242990654,Asterix,Amp Single,2
353,80000000,5478.571428571428,Asterix,Amp Single,2
354,81600000,5740.816326530612,Asterix,Amp Single,2
355,83200000,6982.142857142857,Asterix,Amp Single,2
356,84800000,7195.977011494253,Asterix,Amp Single,2
357,86400000,7437.195121951219,Asterix,Amp Single,2
358,88000000,8247.560975609756,Asterix,Amp Single,2
359,89600000,10993.661971830987,Asterix,Amp Single,2
360,91200000,10242.25352112676,Asterix,Amp Single,2
361,92800000,8763.75,Asterix,Amp Single,2
362,94400000,8812.987012987012,Asterix,Amp Single,2
363,96000000,13406.25,Asterix,Amp Single,2
364,97600000,11502.564102564103,Asterix,Amp Single,2
365,99200000,14820.491803278688,Asterix,Amp Single,2
366,100800000,11812.328767123288,Asterix,Amp Single,2
367,102400000,14225.757575757576,Asterix,Amp Single,2
368,104000000,10844.078947368422,Asterix,Amp Single,2
369,105600000,14455.384615384615,Asterix,Amp Single,2
370,107200000,8603.370786516854,Asterix,Amp Single,2
371,108800000,16015.90909090909,Asterix,Amp Single,2
372,110400000,12946.478873239437,Asterix,Amp Single,2
373,112000000,13061.333333333334,Asterix,Amp Single,2
374,113600000,14301.538461538461,Asterix,Amp Single,2
375,115200000,19104.918032786885,Asterix,Amp Single,2
376,116800000,12679.054054054053,Asterix,Amp Single,2
377,118400000,17018.032786885247,Asterix,Amp Single,2
378,120000000,9268.823529411764,Asterix,Amp Single,2
379,121600000,14126.027397260274,Asterix,Amp Single,2
380,123200000,11740.78947368421,Asterix,Amp Single,2
381,124800000,13218.75,Asterix,Amp Single,2
382,126400000,12953.333333333334,Asterix,Amp Single,2
383,128000000,15516.176470588236,Asterix,Amp Single,2
384,129600000,14994.285714285714,Asterix,Amp Single,2
385,131200000,15850.0,Asterix,Amp Single,2
386,132800000,13578.57142857143,Asterix,Amp Single,2
387,134400000,16798.387096774193,Asterix,Amp Single,2
388,136000000,14752.81690140845,Asterix,Amp Single,2
389,137600000,27059.183673469386,Asterix,Amp Single,2
390,139200000,19454.166666666668,Asterix,Amp Single,2
391,140800000,24666.346153846152,Asterix,Amp Single,2
392,142400000,23101.88679245283,Asterix,Amp Single,2
393,144000000,18030.32786885246,Asterix,Amp Single,2
394,145600000,26313.46153846154,Asterix,Amp Single,2
395,147200000,20104.09836065574,Asterix,Amp Single,2
396,148800000,20961.475409836065,Asterix,Amp Single,2
397,150400000,19147.619047619046,Asterix,Amp Single,2
398,152000000,20294.736842105263,Asterix,Amp Single,2
399,153600000,12402.054794520547,Asterix,Amp Single,2
400,155200000,29614.893617021276,Asterix,Amp Single,2
401,156800000,14703.623188405798,Asterix,Amp Single,2
402,158400000,25376.415094339623,Asterix,Amp Single,2
403,160000000,22898.14814814815,Asterix,Amp Single,2
