,Frame,Mean,Game,Alg,Model,Average Score,Best Score
158,23600000,6295.263157894737,Asterix,Amp Single,0,5830.353259753358,26612.244897959183
159,24000000,5393.867924528302,Asterix,Amp Single,0,5890.3532597533585,26612.244897959183
160,24400000,6039.523809523809,Asterix,Amp Single,0,5998.472307372406,26612.244897959183
161,24800000,9867.910447761195,Asterix,Amp Single,0,6163.619516532088,26612.244897959183
162,25200000,7440.425531914893,Asterix,Amp Single,0,6351.359986390243,26612.244897959183
163,25600000,10699.35064935065,Asterix,Amp Single,0,7032.363753615384,26612.244897959183
164,26000000,7432.98969072165,Asterix,Amp Single,0,7218.211742295392,26612.244897959183
165,26400000,8742.528735632184,Asterix,Amp Single,0,7394.935204093903,26612.244897959183
166,26800000,6584.803921568628,Asterix,Amp Single,0,7504.935204093903,26612.244897959183
167,27200000,10825.0,Asterix,Amp Single,0,7932.166386889602,26612.244897959183
168,27600000,10826.219512195123,Asterix,Amp Single,0,8385.26202231964,26612.244897959183
169,28000000,6894.949494949495,Asterix,Amp Single,0,8535.370179361762,26612.244897959183
170,28400000,9090.361445783132,Asterix,Amp Single,0,8840.453942987693,26612.244897959183
171,28800000,13111.643835616438,Asterix,Amp Single,0,9164.827281773218,26612.244897959183
172,29200000,11957.692307692309,Asterix,Amp Single,0,9616.553959350958,26612.244897959183
173,29600000,7502.35294117647,Asterix,Amp Single,0,9296.85418853354,26612.244897959183
174,30000000,8820.430107526881,Asterix,Amp Single,0,9435.598230214066,26612.244897959183
175,30400000,6117.64705882353,Asterix,Amp Single,0,9173.1100625332,26612.244897959183
176,30800000,12483.333333333334,Asterix,Amp Single,0,9762.963003709669,26612.244897959183
177,31200000,11252.531645569621,Asterix,Amp Single,0,9805.71616826663,26612.244897959183
178,31600000,16130.0,Asterix,Amp Single,0,10336.094217047119,26612.244897959183
179,32000000,9422.289156626506,Asterix,Amp Single,0,10588.828183214819,26612.244897959183
180,32400000,16592.647058823528,Asterix,Amp Single,0,11339.056744518859,26612.244897959183
181,32800000,14827.464788732394,Asterix,Amp Single,0,11510.638839830453,26612.244897959183
182,33200000,17263.846153846152,Asterix,Amp Single,0,12041.254224445836,26612.244897959183
183,33600000,15249.285714285714,Asterix,Amp Single,0,12815.94750175676,26612.244897959183
184,34000000,18635.0,Asterix,Amp Single,0,13797.404491004072,26612.244897959183
185,34400000,9621.951219512195,Asterix,Amp Single,0,14147.83490707294,26612.244897959183
186,34800000,13250.641025641025,Asterix,Amp Single,0,14224.565676303708,26612.244897959183
187,35200000,17093.382352941175,Asterix,Amp Single,0,14808.650747040863,26612.244897959183
188,35600000,10741.02564102564,Asterix,Amp Single,0,14269.753311143426,26612.244897959183
189,36000000,13806.756756756757,Asterix,Amp Single,0,14708.20007115645,26612.244897959183
190,36400000,26612.244897959183,Asterix,Amp Single,0,15710.159855070015,26612.244897959183
191,36800000,16765.873015873014,Asterix,Amp Single,0,15904.000677784079,26612.244897959183
192,37200000,24303.636363636364,Asterix,Amp Single,0,16607.979698763098,26612.244897959183
193,37600000,13190.410958904109,Asterix,Amp Single,0,16402.092223224936,26612.244897959183
194,38000000,22880.35714285714,Asterix,Amp Single,0,16826.62793751065,26612.244897959183
195,38400000,20160.31746031746,Asterix,Amp Single,0,17880.464561591176,26612.244897959183
196,38800000,21085.344827586207,Asterix,Amp Single,0,18663.934941785694,26612.244897959183
197,39200000,19994.444444444445,Asterix,Amp Single,0,18954.04115093602,26612.244897959183
198,39600000,15650.72463768116,Asterix,Amp Single,0,19445.01105060157,26612.244897959183
199,40000000,11214.942528735632,Asterix,Amp Single,0,19185.82962779946,26612.244897959183
200,400000,273.1939163498099,Asterix,Amp Single,1,,27724.48979591837
201,800000,271.2809917355372,Asterix,Amp Single,1,,27724.48979591837
